FileName,mean_particles,n_samples,filter_time,trimming_time,massdrop_time
events-ee-Z.hepmc3,43.05,64,5.76898455619812,5.088336765766144,2.605654299259186
events-ee-H.hepmc3,64.97,64,6.821863353252411,6.023533642292023,3.0551478266716003
events-pp-0.5TeV-5GeV.hepmc3,112.62,64,14.481469988822937,13.18611204624176,5.7151541113853455
events-pp-1TeV-5GeV.hepmc3,160.36,64,21.53143286705017,19.694305956363678,8.056052029132843
events-pp-2TeV-5GeV.hepmc3,188.21,64,25.812089443206787,23.514293134212494,9.593740105628967
events-pp-2TeV.hepmc3,226.98,64,30.383355915546417,27.862638235092163,10.826662182807922
events-pp-5TeV-10GeV.hepmc3,284.15,64,40.93557596206665,37.39871084690094,14.333389699459076
events-pp-8TeV-20GeV.hepmc3,354.18,64,48.48659038543701,44.61187869310379,16.699843108654022
events-pp-13TeV-20GeV.hepmc,431.18,64,59.832967817783356,55.223219096660614,20.118393003940582
events-pp-20TeV-20GeV.hepmc3,524.59,64,71.68803364038467,66.05863571166992,23.710094392299652
events-pp-20TeV-50GeV.hepmc3,553.64,64,69.29859519004822,63.909851014614105,23.014023900032043
events-pp-30TeV-50GeV.hepmc3,632.29,64,79.82611656188965,73.90808314085007,26.047751307487488
